hin_Deva,sat_Olck
मैं यहाँ अपने बेटे के बारे में कुछ बात करना चाहती हूँ।,ᱤᱧᱫᱚ ᱤᱧᱨᱮᱱ ᱠᱚᱲᱟ ᱜᱤᱫᱨᱟᱹ ᱵᱟᱵᱚᱛᱽᱛᱮ ᱠᱤᱪᱷᱤ ᱜᱟᱞᱢᱟᱨᱟᱨ ᱞᱟᱹᱜᱤᱫ ᱤᱧ ᱦᱮᱡᱽ ᱟᱠᱟᱱᱟ ᱾
"आप उसके क्लास टीचर हैं, इसलिए मुझे लगा कि अगर मैं अपनी परेशानियों के बारे में आपसे बात करूँ तो अच्छा रहेगा।","ᱩᱱᱤᱨᱮᱱ ᱢᱟᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ, ᱤᱧᱟᱹᱜ ᱢᱚᱱᱮ ᱦᱩᱭᱟᱠᱟᱱᱟ ᱟᱢ ᱥᱟᱶᱛᱮ ᱤᱧᱟᱹᱜ ᱪᱤᱱᱛᱟᱹᱧ ᱜᱟᱞᱢᱟᱨᱟᱣ ᱞᱮᱠᱷᱟᱱ ᱡᱚᱛᱚᱠᱷᱚᱱ ᱱᱟᱯᱟᱭᱚᱜᱼᱟ ᱾"
आप आराम से बैठिए।,ᱟᱢᱛᱮ ᱡᱩᱛᱩᱜ ᱢᱮ ᱾
आप किस बारे में बात करना चाहती हैं?,ᱟᱢ ᱪᱮᱫ ᱜᱟᱯᱟᱞᱢᱟᱨᱟᱣ ᱥᱟᱱᱟᱭᱮᱫ ᱢᱮᱭᱟ ?
मुझे अपने बेटे की मोबाइल फ़ोन और वीडियो गेम की बढ़ती लत को लेकर चिंता है।,ᱤᱧᱫᱚ ᱤᱧᱨᱮᱱ ᱠᱚᱲᱟ ᱜᱤᱫᱨᱟᱹ ᱟᱜ ᱢᱳᱵᱟᱭᱤᱞ ᱯᱷᱳᱱ ᱟᱨ ᱶᱷᱤᱰᱤᱳ ᱜᱮᱢ ᱨᱮ ᱡᱷᱩᱸᱠ ᱤᱫᱤ ᱠᱟᱛᱮᱧ ᱪᱤᱱᱛᱟᱹ ᱜᱮᱭᱟ ᱾
वह हमेशा फ़ोन पर गेम खेलता रहता है।,ᱩᱱᱤᱫᱚ ᱥᱟᱨᱟ ᱜᱷᱟᱹᱲᱤ ᱯᱷᱳᱱᱨᱮ ᱜᱮᱢ ᱠᱷᱮᱞᱨᱮ ᱡᱚᱦᱚᱲᱮ ᱛᱟᱦᱮᱸᱱᱟ ᱾
और मैं उसकी सेहत और उसकी पढ़ाई को भी लेकर चिंतित हूँ।,ᱟᱨ ᱤᱧᱫᱤ ᱥᱟᱹᱨᱤᱜᱮ ᱩᱱᱤᱭᱟᱜ ᱥᱟᱶᱟᱨ ᱟᱨ ᱯᱟᱲᱦᱟᱜ ᱤᱫᱤ ᱠᱟᱛᱮᱧ ᱪᱤᱱᱛᱟᱹ ᱜᱮᱭᱟ ᱾
"ओह, यह तो चिंता की बात है।","ᱳᱦ, ᱱᱚᱶᱟᱫᱚ ᱪᱤᱱᱛᱟ, ᱟᱱᱟᱜᱼᱜᱮ ᱾"
यह लत इन छोटे बच्चों में बढ़ती जा रही है।,ᱠᱟᱴᱤᱡᱽ ᱜᱤᱫᱨᱟᱹᱠᱩ ᱢᱩᱫᱽᱨᱮ ᱱᱚᱶᱟ ᱡᱷᱩᱸᱠ ᱵᱟᱹᱲᱛᱤ ᱤᱫᱤᱜ ᱠᱟᱱᱟ ᱾
आपको इस परेशानी से छुटकारा पाने के लिए उसे कुछ मनोरंजक हॉबी में शामिल करने की कोशिश करना चाहिए।,ᱱᱚᱶᱟ ᱟᱡᱷᱟᱴ ᱴᱮᱠᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱩᱱᱤ ᱴᱷᱮᱱ ᱠᱤᱪᱷᱤ ᱨᱟᱹᱥᱠᱟᱹ ᱟᱱ ᱥᱚᱠ ᱠᱚ ᱥᱮᱞᱮᱫ ᱟᱭ ᱨᱮᱭᱟᱜ ᱨᱤᱠᱟᱹᱭ ᱢᱮ ᱾
अच्छी हॉबी जैसे?,ᱡᱮᱞᱮᱠᱟ ᱱᱟᱯᱟᱭ ᱥᱚᱠ ?
आप मुझे कुछ सुझाव दे सकते हैं क्या?,ᱟᱟᱢ ᱪᱮᱫ ᱠᱤᱪᱷᱤ ᱱᱟᱯᱟᱭ ᱫᱤᱥ ᱦᱩᱫᱤᱥᱮᱢ ᱮᱢ ᱫᱟᱲᱮᱭᱟᱹᱧᱟ ?
आपको उसके खाली समय में उसे स्टोरी बुक पढ़ने के लिए बढ़ावा देना चाहिए।,ᱟᱢᱟᱜ ᱫᱚ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ ᱯᱷᱨᱤ ᱴᱟᱭᱤᱢᱨᱮ ᱩᱱᱤ ᱠᱟᱹᱦᱤᱱᱤ ᱯᱩᱛᱷᱤ ᱠᱚ ᱯᱟᱲᱦᱟᱣ ᱨᱮ ᱩᱫᱜᱟᱹᱣ ᱞᱟᱹᱜᱤᱫ ᱾
मेरे विचार से यह स्टूडेंट के लिए सबसे अच्छी हॉबी है।,"ᱤᱧᱟᱹᱜ ᱠᱟᱛᱷᱟ ᱞᱮᱠᱟᱛᱮ, ᱱᱚᱶᱟᱫᱚ ᱡᱚᱛᱚᱠᱷᱚᱱ ᱱᱟᱯᱟᱭ ᱥᱚᱠ ᱠᱟᱱᱟ, ᱯᱟᱹᱴᱷᱣᱟᱹ ᱠᱚ ᱞᱟᱹᱜᱤᱫ ᱾"
और उसे मोबाइल गेमिंग से दूर करने के लिए आप उसे स्पोर्ट्स अकादमी में भेज सकती हैं।,"ᱱᱚᱶᱟ ᱪᱷᱟᱰᱟ ᱠᱟᱛᱮᱜ, ᱩᱱᱤ ᱢᱳᱵᱟᱭᱤᱞ ᱜᱮᱢ ᱠᱷᱚᱱ ᱥᱟᱦᱟᱭᱮ ᱫᱚᱦᱚᱭ ᱞᱟᱹᱜᱤᱫ, ᱟᱢ ᱩᱱᱤ ᱥᱯᱳᱨᱴᱥ ᱮᱠᱟᱰᱮᱢᱤᱨᱮᱢ ᱵᱷᱚᱨᱛᱤ ᱫᱟᱲᱮᱟᱭᱟ ᱾"
"मार्शल आर्ट, तैराकी, क्रिकेट, आदि कुछ अच्छे खेल हैं जिन्हें वह ट्राई कर सकता है।","ᱩᱱᱤᱫᱚ ᱢᱟᱨᱥᱟᱞ ᱟᱨᱴᱥ,ᱯᱟᱭᱨᱟᱜ,ᱠᱨᱤᱠᱮᱴ ᱮᱢᱟᱱ ᱛᱮᱭᱟᱜ ᱵᱷᱟᱜᱮ ᱠᱷᱮᱞᱚᱱᱰ ᱠᱚᱭ ᱨᱤᱠᱟᱹ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾"
इस तरह से वह फ़िट भी रहेगा।,"ᱱᱚᱶᱟᱛᱮ, ᱟᱡᱽᱦᱚᱸ ᱯᱷᱤᱴᱮ ᱛᱟᱦᱮᱸᱱᱟ ᱾"
"जब वो गेम नहीं खेलता है, तब अक्सर वो गाने के कुछ रियैलिटी शो देखता रहता है।","ᱩᱱᱤ ᱡᱚᱠᱷᱚᱱ ᱜᱮᱢ ᱵᱟᱭ ᱠᱷᱮᱞᱟ, ᱩᱱᱤᱫᱚ ᱥᱟᱫᱷᱟᱨᱚᱱᱚᱛᱚ ᱥᱮᱨᱮᱧ ᱨᱤᱭᱟᱞᱤᱴᱤ ᱥᱳ ᱨᱮᱭᱟᱜ ᱵᱷᱤᱰᱤᱳ ᱠᱚᱭ ᱧᱮᱞᱟ ᱾"
"तो, मुझे लगा कि उसे म्यूज़िक में रुचि हो सकती है।","ᱚᱱᱟᱛᱮ, ᱤᱧᱟᱹᱜ ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜ ᱟᱠᱟᱱᱟ ᱩᱱᱤᱫᱚ ᱥᱮᱨᱮᱧ ᱪᱮᱛᱟᱱ ᱡᱷᱩᱸᱠ ᱢᱮᱱᱟᱜ ᱛᱟᱭᱟ ᱾"
इसके बजाय क्या मुझे उसे म्यूज़िक स्कूल भेजना चाहिए?,ᱪᱮᱫ ᱩᱱᱤ ᱥᱮᱨᱮᱧ ᱤᱛᱩᱱ ᱟᱥᱲᱟᱨᱮ ᱵᱷᱚᱨᱛᱤ ᱠᱟᱭ ᱤᱧᱟᱹᱜ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ ?
क्या वह उसके लिए पॉज़िटिव हॉबी होगी?,ᱪᱮᱫ ᱩᱱᱤ ᱞᱟᱹᱜᱤᱫ ᱵᱷᱟᱜᱮ ᱟᱱᱟᱜ ᱥᱚᱠ ᱦᱩᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ?
"वह अच्छी हॉबी होगी, इसमें कोई शक नहीं।","ᱱᱚᱶᱟᱫᱚ ᱢᱤᱫ ᱱᱟᱯᱟᱭ ᱦᱚᱵᱤ ᱦᱩᱭᱩᱜᱼᱟ, ᱱᱚᱶᱟᱨᱮ ᱫᱚ ᱪᱮᱫ ᱦᱤᱫᱤᱡᱽ ᱜᱮ ᱵᱟᱹᱱᱩᱜᱼᱟ ᱾"
आप ऐसा कर सकती हैं।,ᱟᱢ ᱱᱚᱶᱟᱢ ᱠᱚᱨᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾
लेकिन आपको यह भी देखना चाहिए कि वह बाहर जाए और दूसरे बच्चों के साथ खेलें।,ᱢᱮᱱᱠᱷᱟᱱ ᱟᱢ ᱱᱚᱶᱟᱦᱚᱸ ᱴᱷᱟᱹᱣᱠᱟᱹ ᱦᱩᱭᱩᱜ ᱛᱟᱢᱟ ᱡᱮ ᱩᱱᱤ ᱵᱟᱨᱦᱮᱭ ᱪᱟᱞᱟᱜᱼᱟ ᱟᱨ ᱮᱴᱟᱜ ᱜᱤᱫᱨᱟᱹ ᱠᱚ ᱥᱟᱶᱛᱮᱭ ᱠᱷᱮᱞᱼᱟ ᱾
उसे बाहरी दुनिया और उसका आनंद देखना होगा।,ᱩᱱᱤ ᱫᱚ ᱵᱟᱨᱦᱮ ᱨᱮᱭᱟᱜ ᱡᱮᱜᱮᱫ ᱟᱨ ᱚᱱᱟ ᱨᱮᱭᱟᱜ ᱨᱟᱹᱥᱠᱟᱹᱭ ᱧᱮᱞ ᱢᱟ ᱾
"हाँ, मैं उसे हर शाम अपने घर के पास वाले खेल के मैदान में ले जाने की सोच रही हूँ।","ᱦᱮᱸ, ᱤᱧ ᱢᱚᱱᱮᱭᱮᱫᱟ ᱟᱞᱮ ᱥᱩᱨ ᱨᱮᱭᱟᱜ ᱠᱷᱮᱞᱚᱸᱰ ᱢᱟᱴᱷᱨᱮ ᱩᱱᱤ ᱤᱫᱤᱭ ᱨᱮᱭᱟᱜ ᱠᱟᱛᱷᱟ ᱾"
और मैं म्यूज़िक स्कूल में नाम लिखवा दूंगी।,ᱟᱨ ᱤᱧ ᱩᱱᱤᱤ ᱢᱤᱫᱴᱟᱝ ᱥᱮᱨᱮᱧ ᱟᱥᱲᱟᱨᱮᱧ ᱵᱷᱩᱨᱛᱤ ᱮᱭᱟ ᱾
मुझे उम्मीद है कि इससे कुछ फ़र्क पड़ेगा।,ᱤᱧ ᱟᱥᱚᱜ ᱠᱟᱹᱱᱟᱹᱧ ᱱᱚᱶᱟᱫᱚ ᱱᱟᱥᱮ ᱱᱟᱜ ᱮ ᱵᱷᱮᱜᱟᱨᱟ ᱾
मैं उसे कुछ अच्छी कॉमिक बुक्स भी ख़रीदकर दूँगी ताकि उसे किताबें पढ़ने का शौक हो जाए।,ᱤᱧ ᱩᱱᱤ ᱠᱤᱪᱷᱤ ᱵᱷᱟᱜᱮ ᱠᱚᱢᱤᱠ ᱯᱚᱛᱚᱵ ᱤᱧ ᱠᱤᱨᱤᱧᱟᱭᱟ ᱡᱟᱦᱟᱸᱛᱮ ᱩᱱᱤ ᱯᱚᱛᱚᱵ ᱯᱟᱲᱦᱟᱣ ᱥᱮᱡᱽᱼᱮ ᱞᱟᱣᱮᱨᱚᱜ ᱾
"हाँ, यह आपका पहला कदम होना चाहिए।","ᱦᱮᱸ, ᱱᱚᱶᱟᱫᱚ ᱟᱢᱟᱜ ᱯᱳᱭᱞᱳ ᱯᱟᱹᱣᱲᱤ ᱦᱩᱭᱩᱜ ᱛᱟᱢᱟ ᱾"
मुझे लगता है कि ऐसा करने के बाद उसकी इन चीज़ों में रुचि बढ़ेगी।,"ᱤᱧ ᱢᱚᱱᱮᱭᱟ ᱱᱤᱭᱟᱹ ᱠᱚᱨᱟᱣ ᱛᱟᱭᱚᱢ, ᱩᱱᱤ ᱱᱚᱶᱟᱨᱮ ᱜᱚᱨᱚᱡᱮ ᱯᱟᱸᱡᱟ ᱧᱟᱢᱼᱟ ᱾"
क्या आप कुछ और भी पूछना चाहती हैं?,ᱟᱢᱟᱜ ᱪᱮᱫ ᱟᱨ ᱡᱟᱦᱟᱱ ᱠᱩᱠᱞᱤ ᱢᱮᱱᱟᱜᱼᱟ ?
"नहीं सर, मैं बस इसी बारे में बात करना चाहती थी।","ᱵᱟᱝ, ᱥᱮᱨ, ᱱᱚᱶᱟᱠᱚ ᱜᱮ ᱤᱧ ᱜᱟᱯᱟᱞᱢᱟᱨᱟᱣ ᱤᱧ ᱠᱷᱚᱡᱚᱜ ᱠᱟᱱ ᱛᱟᱦᱮᱸᱜ ᱾"
आपके सुझावों के लिए बहुत-बहुत धन्यवाद।,ᱟᱭᱢᱟ ᱥᱟᱨᱦᱟᱣ ᱟᱢᱟᱜ ᱥᱟᱞᱦᱟ ᱞᱟᱹᱜᱤᱫ ᱾
इसमें धन्यवाद की क्या बात है।,ᱟᱢᱟᱜ ᱥᱟᱹᱜᱩᱱ ᱫᱟᱨᱟᱢ ᱾
"अगर परेशानी बनी रहती है, तो फिर आइए।",ᱟᱨᱦᱚᱸ ᱦᱤᱡᱩᱜ ᱡᱩᱫᱤ ᱮᱴᱠᱮᱴᱚᱸᱲᱮ ᱱᱚᱝᱠᱟᱜᱮ ᱛᱟᱦᱮᱸᱱ ᱠᱷᱟᱱ ᱾
"जी, ज़रूर।","ᱦᱮᱸ, ᱥᱟᱹᱨᱤᱜᱮ ᱾"
"हाय, क्या आप इस यूनिवर्सिटी में नए हैं?","ᱮᱭ, ᱟᱢ ᱪᱮᱫ ᱱᱚᱶᱟ ᱡᱮᱜᱮᱫ ᱵᱤᱨᱫᱟᱹᱜᱟᱲᱨᱮᱢ ᱱᱟᱶᱟ ᱜᱮᱭ ? ?ᱟ ?"
"हाँ, मैंने इस साल दाखिला लिया है।","ᱦᱮ, ᱤᱧ ᱱᱤᱭᱟᱹ ᱥᱮᱨᱢᱟ ᱜᱮᱧ ᱵᱷᱩᱨᱛᱤ ᱟᱠᱟᱱᱟ ᱾"
और आप?,ᱟᱨ ᱟᱢᱟᱜ ᱠᱷᱚᱵᱚᱨ ᱫᱚ ᱪᱮᱫ ?
मैं भी।,ᱤᱧᱦᱚᱸ ᱾
मैंने भी इसी साल दाखिला लिया है।,ᱤᱧᱦᱚᱸ ᱱᱤᱭᱟᱹ ᱥᱮᱨᱢᱟ ᱜᱮᱧ ᱥᱮᱞᱮᱫ ᱟᱠᱟᱱᱟ ᱾
आपका नाम क्या है?,ᱪᱮᱫ ᱛᱟᱢ ᱧᱩᱛᱩᱢ ?
और आपने कौन-सा क्लब जॉइन किया है?,ᱟᱨ ᱚᱠᱟᱴᱟᱜ ᱠᱞᱟᱵᱽ ᱨᱮᱢ ᱥᱮᱞᱮᱫ ᱟᱠᱟᱱᱟ ?
"मैं देबेंद्र हूँ, और मैंने स्पोर्ट्स क्लब जॉइन किया है।","ᱤᱧᱫᱚ ᱫᱮᱵᱮᱱᱫᱨᱚ, ᱟᱨ ᱤᱧᱫᱚ ᱥᱯᱳᱨᱴ ᱠᱞᱟᱵᱽ ᱨᱮᱧ ᱥᱮᱞᱮᱫ ᱟᱠᱟᱱᱟ ᱾"
और आपने?,ᱟᱢᱟᱜ ᱠᱷᱚᱵᱚᱨ ᱫᱚ ᱪᱮᱫ ?
मैंने म्यूज़िक क्लब जॉइन किया है।,ᱤᱧᱫᱚ ᱥᱮᱨᱮᱧ ᱠᱞᱟᱵᱽ ᱨᱮᱧ ᱥᱮᱞᱮᱫ ᱟᱠᱟᱱᱟ ᱾
क्या आपको सभी तरह के खेल पसंद हैं?,ᱟᱢᱫᱚ ᱥᱟᱱᱟᱢ ᱞᱮᱠᱟᱱ ᱠᱷᱮᱞᱚᱸᱰ ᱜᱮᱢ ᱜᱚᱨᱚᱡᱟᱜᱼᱟ ?
"नहीं, दर असल मुझे खेल से ज़्यादा बाइक चलाना पसंद है।","ᱵᱟᱝ, ᱤᱧᱫᱚ ᱥᱟᱨᱤᱭᱟᱜ ᱨᱮ ᱠᱦᱮᱞᱚᱸᱰ ᱠᱷᱚᱱ ᱵᱟᱭᱤᱠ ᱪᱟᱞᱟᱣ ᱨᱮ ᱵᱟᱹᱲᱛᱤ ᱜᱚᱨᱚᱡᱽ ᱢᱮᱱᱟᱜ ᱛᱤᱧᱟ ᱾"
"मुझे मीलों दूर तक बाइक चलाना पसंद है, यह मेरा शौक है।","ᱤᱧᱫᱚ ᱡᱮᱞᱮᱧ ᱢᱟᱭᱤᱞ ᱦᱟᱹᱵᱤᱡᱽ ᱨᱟᱭᱤᱰ ᱤᱧ ᱠᱩᱥᱤᱭᱟᱜᱼᱟ, ᱱᱚᱶᱟᱫᱚ ᱤᱧᱟᱹᱜ ᱥᱚᱠ ᱠᱟᱱᱟ ᱾"
"लेकिन यहाँ खेल के अलावा ऐसी कोई चीज़ नहीं दिखी जो मुझे दिलचस्प लगे, तो मैंने इसे ही जॉइन कर लिया।","ᱢᱮᱱᱠᱷᱟᱱ ᱠᱷᱮᱞᱚᱸᱰ ᱪᱷᱟᱰᱟ ᱱᱚᱰᱮ ᱤᱧᱟᱹᱜ ᱠᱩᱥᱤᱭᱟᱜ ᱞᱮᱠᱟ ᱪᱮᱫ ᱦᱚᱸ ᱵᱟᱹᱱᱩᱜᱼᱟ, ᱚᱱᱟᱛᱮ ᱤᱧ ᱱᱚᱣᱟᱨᱮᱧ ᱥᱮᱞᱮᱫ ᱟᱠᱟᱱᱟ ᱾"
मैं कभी-कभी फुटबॉल खेलता हूँ।,ᱤᱧᱫᱚ ᱡᱟᱦᱟᱸ ᱛᱤᱱᱠᱚᱨᱮ ᱯᱷᱩᱴᱵᱚᱞ ᱤᱧ ᱠᱷᱮᱞᱟ ᱾
सही में?,"ᱳᱦ, ᱥᱟᱹᱨᱤᱜᱮ ?"
तब तो आपको रोमांच बहुत पसंद आता होगा!,ᱟᱢᱫᱚ ᱮᱱᱠᱷᱟᱱ ᱟᱹᱰᱤ ᱫᱤᱞᱼᱟᱱ ᱦᱩᱭ ᱟᱢᱟ !
"हाँ, ऐसा कहा जा सकता है।","ᱦᱮᱸ, ᱟᱢᱮᱢ ᱞᱟᱹᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾"
मेरी वैसे इन रोमांचक खेलों में कोई खास रुचि नहीं है।,ᱤᱧᱫᱚ ᱱᱚᱝᱠᱟᱱ ᱫᱤᱞᱼᱟᱱ ᱠᱷᱮᱞᱚᱸᱰ ᱨᱮᱫᱚ ᱵᱟᱹᱱᱩᱧᱟ ᱾
आप लोग कैसे कर लेते हैं?,ᱟᱯᱮᱫᱚ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱯᱮ ᱠᱚᱨᱟᱣᱼᱟ ᱾
आपको डर नहीं लगता?,ᱵᱟᱯᱮ ᱵᱚᱛᱚᱨᱚᱜᱼᱟ ?
"नहीं, बाइक चलाना इतना भयंकर नहीं है और मैं भी लापरवाही से चलाने वालों में से नहीं हूँ।","ᱵᱟᱝ, ᱵᱟᱭᱤᱠ ᱪᱟᱞᱟᱣ ᱫᱚ ᱵᱟᱝ ᱵᱚᱛᱚᱨᱟ ᱟᱨ ᱤᱧᱫᱚ ᱚᱱᱠᱟᱱ ᱵᱚᱛᱚᱨᱟᱱ ᱵᱟᱭᱤᱠ ᱪᱟᱞᱟᱣᱤᱡᱽ ᱫᱚ ᱵᱟᱝ ᱠᱟᱱᱟᱹᱧ ᱾"
"आपको कभी ट्राई करना चाहिए; रास्ता खाली और सुंदर हो, तो इससे बहुत सुकून मिलता है।",ᱟᱢ ᱱᱚᱶᱟᱢ ᱠᱚᱨᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ; ᱰᱟᱦᱟᱨ ᱡᱚᱠᱷᱚᱱ ᱯᱷᱟᱸᱠᱟ ᱟᱨ ᱢᱚᱡᱽ ᱦᱩᱭ ᱞᱮᱱᱠᱷᱟᱱ ᱱᱚᱶᱟᱫᱚ ᱱᱟᱯᱟᱭᱚᱜᱼᱟ ᱾
वैसे आपकी रुचि गायन में है?,"ᱡᱟᱦᱟᱸᱭᱮᱱᱜᱮ, ᱥᱮᱨᱮᱧᱫᱚ ᱟᱢᱟᱜ ᱥᱚᱠ ᱠᱟᱱᱟ ?"
"हाँ, मुझे गाना गाना पसंद है।","ᱦᱮᱸ, ᱤᱧᱫᱚ ᱥᱮᱨᱮᱧ ᱤᱧ ᱠᱩᱥᱤᱭᱟᱜᱼᱟ ᱾"
पर आपको कैसे पता?,"ᱡᱟᱦᱟᱸᱭᱮᱱ ᱜᱮ, ᱟᱢᱫᱚ ᱪᱮᱠᱟᱛᱮᱢ ᱵᱟᱰᱟᱭ ᱠᱮᱫᱟ ?"
"नहीं, मैंने बस पूछा, आपने कहा था न कि आपने म्यूज़िक क्लब जॉइन किया है।","ᱵᱟᱝ, ᱤᱧᱫᱚ ᱠᱷᱟᱹᱞᱤᱧ ᱠᱩᱞᱤᱭᱮᱫ ᱢᱮᱭᱟ, ᱟᱢᱮᱢ ᱞᱟᱹᱭ ᱞᱮᱫᱟ, ᱤᱧᱫᱚ ᱥᱮᱨᱮᱧ ᱠᱞᱟᱵ ᱨᱮᱧ ᱥᱮᱞᱮᱫ ᱟᱠᱟᱱᱟ ᱾"
आपको किस तरह का म्यूज़िक परफ़ॉर्म करते हैं?,ᱚᱠᱟ ᱞᱮᱠᱟᱱ ᱥᱮᱨᱮᱧ ᱠᱚ ᱟᱢᱮᱢ ᱥᱮᱨᱮᱧᱟ ?
मुझे असमिया गाने गाना पसंद है।,ᱤᱧᱫᱚ ᱥᱟᱱᱛᱟᱞᱤ ᱥᱮᱨᱮᱧᱤᱧ ᱠᱩᱥᱤᱭᱟᱜᱼᱟ ᱾
लेकिन मैं दूसरी भाषाओं में भी गाने गाता हूँ।,ᱢᱮᱱᱠᱷᱟᱱ ᱤᱧᱫᱚ ᱮᱴᱟᱜ ᱯᱟᱹᱨᱥᱤᱛᱮ ᱦᱚᱸᱧ ᱥᱮᱨᱮᱧᱟ ᱾
गायन से मेरे मन को शांति मिलती है।,ᱥᱮᱨᱮᱧᱫᱚ ᱤᱧᱟᱹᱜ ᱢᱚᱱᱮ ᱢᱟᱹᱦᱤᱨᱟ ᱾
मुझे गाने सुनना पसंद है और इस तरह गायन मेरा शौक बन गया।,ᱤᱧᱫᱚ ᱥᱮᱨᱮᱧ ᱟᱸᱡᱚᱢᱤᱧ ᱠᱩᱥᱤᱭᱟᱜᱼᱟ ᱟᱨ ᱱᱚᱝᱠᱟ ᱛᱮᱜᱮ ᱥᱮᱨᱮᱧ ᱫᱚ ᱤᱧᱟᱹᱜ ᱥᱚᱠ ᱦᱩᱭᱟᱠᱟᱱᱟ ᱾
मुझे अपने हॉबी के बारे में और बताएँ।,ᱟᱢᱟᱜ ᱥᱚᱠ ᱤᱫᱤ ᱠᱟᱛᱮᱜ ᱟᱨᱦᱚᱸ ᱞᱟᱹᱭᱟᱹᱧ ᱢᱮ ᱾
"वाह, यह तो बहुत अच्छा है।","ᱵᱟᱵᱼᱵᱟ, ᱪᱮᱫ ᱦᱟᱦᱟᱲᱟ ᱾"
"जैसा मैंने आपको बताया, मुझे अपनी मोटरसाइकिल पर लंबी दूरी तक राइड करना पसंद है।","ᱟᱢᱤᱧ ᱞᱟᱹᱭ ᱟᱠᱟᱫ ᱢᱮᱭᱟ, ᱤᱧᱫᱚ ᱤᱧᱟᱹᱜ ᱢᱚᱴᱚᱨᱜᱟᱹᱰᱤᱛᱮ ᱟᱹᱰᱤ ᱥᱟᱹᱜᱤᱧ ᱢᱟᱭᱤᱞ ᱪᱟᱞᱟᱜ ᱤᱧ ᱠᱩᱥᱤᱭᱟᱜᱼᱟ ᱾"
मैं अक्सर वीकेंड में अपने ग्रुप के साथ बाहर जाता हूँ।,ᱤᱧ ᱟᱹᱰᱤ ᱚᱠᱛᱚᱜᱮ ᱦᱟᱯᱛᱟᱨᱮ ᱤᱧᱟᱹᱜ ᱜᱟᱫᱮᱞ ᱥᱟᱶᱛᱮᱧ ᱳᱰᱳᱠᱚᱜᱼᱟ ᱾
क्या आप कभी हमारे साथ चलना पसंद करेंगे?,ᱟᱢ ᱡᱟᱦᱟᱸ ᱛᱤᱱ ᱠᱚᱨᱮ ᱟᱞᱮ ᱥᱟᱶᱛᱮᱢ ᱦᱤᱡᱩᱜᱼᱟ ?
"हाँ, बिल्कुल, क्यों नहीं?","ᱦᱮᱸ, ᱥᱟᱹᱨᱤᱜᱮ, ᱪᱮᱫᱟᱜ ᱵᱟᱝ ?"
मुझे किसी दिन ऐसा करना अच्छा लगेगा।,ᱤᱧ ᱡᱟᱦᱟᱸᱛᱤᱥ ᱱᱚᱶᱟ ᱨᱤᱠᱟᱹᱧ ᱠᱷᱚᱡᱽ ᱠᱟᱱᱟ ᱾
"ठीक है, अगली बार जब हम राइड पर बाहर जाएँगे तो मैं आपको बता दूँगा।","ᱴᱷᱤᱠ ᱜᱮᱭᱟ, ᱤᱧ ᱞᱟᱹᱭ ᱟᱢᱟ ᱛᱟᱭᱚᱢᱛᱮ ᱟᱞᱮ ᱵᱟᱨᱦᱮ ᱨᱟᱭᱤᱰ ᱞᱮ ᱪᱟᱞᱟᱜ ᱠᱷᱟᱱ ᱾"
"वैसे, आपकी पसंदीदा जगह कौन-सी है?","ᱡᱟᱦᱟᱸᱭᱮᱱ ᱜᱮ, ᱟᱢᱟᱜ ᱠᱩᱥᱤᱭᱟᱜ ᱡᱚᱥᱼᱴᱷᱟᱶ ᱫᱚ ᱪᱮᱫ ᱠᱟᱱᱟ ?"
हम अक्सर मेघालय जाते हैं क्योंकि वहाँ की सड़कें और जगहें दोनों ही सुंदर हैं।,ᱟᱞᱮᱫᱚ ᱡᱟᱣᱜᱮ ᱢᱮᱜᱷᱟᱞᱚᱭᱞᱮ ᱪᱟᱞᱟᱜᱼᱟ ᱪᱮᱫᱟᱜ ᱥᱮ ᱚᱸᱰᱮᱫᱚ ᱦᱚᱨ ᱟᱨ ᱴᱷᱟᱶ ᱵᱟᱱᱟᱨᱜᱮ ᱱᱟᱯᱟᱭᱟ ᱾
"वाह, यह तो बहुत अच्छा है।","ᱳ, ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱾"
तब मैं अगली बार ज़रूर आउंगा।,"ᱮᱱᱠᱷᱟᱱ ᱤᱧᱫᱚ ᱛᱟᱭᱚᱢ ᱫᱟᱨᱟᱢ ᱫᱚᱧ ᱦᱤᱡᱩᱜ ᱠᱟᱱ ᱜᱮᱭᱟ,ᱥᱟᱹᱨᱤᱜᱮ !"
बिल्कुल!,ᱥᱟᱹᱨᱤ ᱜᱮ !
सभी को गुड मॉर्निंग।,"ᱥᱮᱛᱟᱜ ᱡᱚᱦᱟᱨ, ᱡᱚᱛᱚᱠᱩᱜᱤ ᱾"
